destination,1,2,4,5,6,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50,51,53,54,55,56,72
45,1715,1128,2054,1970,9781,2570,3174,313,417,15347,15856,68,855,2421,2828,295,979,1384,1852,1094,3540,2657,2988,1989,1274,1795,0,397,742,1283,6386,345,8362,23792,46,9940,1693,584,8892,1480,0,242,2952,5834,164,184,7352,2371,1347,1229,86,844
46,84,141,1691,0,1336,1690,0,0,26,464,191,87,25,349,286,3426,489,0,156,0,153,83,213,5375,0,82,344,2971,578,22,26,65,159,460,2916,90,248,362,326,0,107,0,767,1390,80,84,298,881,42,498,981,0
47,8500,2079,3787,4753,7988,1570,233,108,924,18886,18553,720,2616,9006,3300,1762,1726,9676,6748,247,1836,1556,5950,1669,11146,3539,40,99,966,475,1352,60,2937,9730,58,5035,1286,818,3508,155,5568,284,0,12023,506,37,6612,2328,835,2809,126,405
48,8404,7252,19224,16844,66318,18979,2129,679,1435,32619,19988,5694,1811,28900,10255,4033,9225,5496,29042,1053,10564,5391,9969,6721,7023,13310,649,3947,9526,1449,8689,22695,19935,14589,1062,11290,29169,4362,10205,1254,7217,1290,14363,0,5684,0,14313,11124,1578,6646,4640,3656
49,574,1341,5259,1149,15794,7051,379,231,0,3142,2626,666,7484,1183,468,231,626,142,569,227,792,1386,1656,587,510,1825,1080,786,7708,0,434,1470,2676,779,217,1770,1407,2757,885,795,971,96,1263,5635,0,329,2279,4316,0,618,3700,424
50,27,0,138,11,896,751,1527,48,169,644,132,101,97,388,97,228,0,185,35,697,311,4121,92,9,53,176,345,200,152,3584,558,110,3019,553,0,455,0,268,818,190,14,0,114,509,436,0,416,386,0,52,68,0
51,4894,2226,3518,790,16513,4048,4448,1216,9389,23161,12566,3842,327,6518,3025,989,2719,3273,1318,890,29736,5225,3243,1337,1233,2811,404,819,637,449,9152,676,14647,22524,1651,5821,1534,455,13613,1711,9525,88,5372,12790,2195,349,0,5051,6047,1524,59,1792
53,686,3422,10591,2088,37150,5420,814,0,621,7437,6831,4546,9196,6827,1521,1451,1285,2152,343,716,3312,2192,2437,3477,539,3420,3134,1353,3772,297,2121,1420,3728,4541,551,2774,2372,27560,2266,652,1947,1483,2054,13742,5536,167,3592,0,89,4190,400,16
54,196,707,62,67,1568,92,391,421,561,3018,1320,0,178,535,335,0,0,1977,0,0,8320,62,978,232,0,153,64,176,10,328,1527,271,1197,2230,0,9284,111,103,5216,0,1425,0,1235,1199,177,27,6045,49,0,110,0,257
55,294,516,3749,150,5149,1528,129,0,58,4423,932,723,131,25364,1515,4172,537,1027,142,921,609,654,5920,15722,477,1089,583,345,898,215,976,692,1056,2250,881,3331,668,730,1384,61,524,264,3223,3799,73,110,804,1616,389,0,43,678
56,40,11,1081,34,2951,3387,15,0,0,286,441,515,1236,450,727,100,594,0,415,98,0,415,905,399,0,1274,1612,517,42,0,0,199,1564,512,139,149,172,2215,436,0,302,572,262,964,1395,95,15,867,0,181,0,93
72,293,0,92,0,713,0,1202,77,0,6238,16,24,0,117,45,0,670,0,162,0,142,1663,87,43,160,0,0,234,0,0,1970,0,2898,690,0,314,346,0,3335,0,84,0,67,1193,0,0,964,0,0,813,0,2
